"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 02 02:48:33 UTC 2023","Sat Dec 02 02:48:53 UTC 2023","20471","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sat Dec 02 04:26:13 UTC 2023","Sat Dec 02 04:26:56 UTC 2023","42968","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Sat Dec 02 03:09:25 UTC 2023","Sat Dec 02 03:09:36 UTC 2023","11252","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Sat Dec 02 02:51:08 UTC 2023","Sat Dec 02 02:51:11 UTC 2023","2589","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Sat Dec 02 02:57:17 UTC 2023","Sat Dec 02 02:57:24 UTC 2023","7405","","6. Company Account","","","","2. Create a Company Account",""
"passed","Sat Dec 02 04:23:00 UTC 2023","Sat Dec 02 04:23:00 UTC 2023","17","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Sat Dec 02 02:42:26 UTC 2023","Sat Dec 02 02:42:26 UTC 2023","720","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sat Dec 02 02:55:01 UTC 2023","Sat Dec 02 02:55:03 UTC 2023","2536","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sat Dec 02 04:26:56 UTC 2023","Sat Dec 02 04:28:00 UTC 2023","63617","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Sat Dec 02 03:09:36 UTC 2023","Sat Dec 02 03:09:37 UTC 2023","767","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Sat Dec 02 03:35:32 UTC 2023","Sat Dec 02 03:35:35 UTC 2023","2866","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Sat Dec 02 03:35:35 UTC 2023","Sat Dec 02 03:35:59 UTC 2023","24137","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Sat Dec 02 03:45:55 UTC 2023","Sat Dec 02 03:46:08 UTC 2023","13386","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Sat Dec 02 02:59:50 UTC 2023","Sat Dec 02 03:01:00 UTC 2023","69607","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Sat Dec 02 03:56:25 UTC 2023","Sat Dec 02 03:56:31 UTC 2023","6015","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Sat Dec 02 02:33:00 UTC 2023","Sat Dec 02 02:33:08 UTC 2023","8242","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Sat Dec 02 02:44:07 UTC 2023","Sat Dec 02 02:44:21 UTC 2023","13241","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Dec 02 02:40:10 UTC 2023","Sat Dec 02 02:40:19 UTC 2023","9530","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Sat Dec 02 02:40:43 UTC 2023","Sat Dec 02 02:40:51 UTC 2023","7961","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sat Dec 02 02:54:35 UTC 2023","Sat Dec 02 02:54:45 UTC 2023","10592","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Sat Dec 02 02:32:59 UTC 2023","Sat Dec 02 02:33:00 UTC 2023","27","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Sat Dec 02 03:12:05 UTC 2023","Sat Dec 02 03:12:07 UTC 2023","1913","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Sat Dec 02 03:35:19 UTC 2023","Sat Dec 02 03:35:29 UTC 2023","9767","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Sat Dec 02 03:41:34 UTC 2023","Sat Dec 02 03:41:37 UTC 2023","2420","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Sat Dec 02 02:42:16 UTC 2023","Sat Dec 02 02:42:26 UTC 2023","9781","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Sat Dec 02 02:44:32 UTC 2023","Sat Dec 02 02:44:51 UTC 2023","19061","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sat Dec 02 02:54:22 UTC 2023","Sat Dec 02 02:54:30 UTC 2023","7998","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Sat Dec 02 03:54:23 UTC 2023","Sat Dec 02 03:54:37 UTC 2023","13437","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Sat Dec 02 02:57:54 UTC 2023","Sat Dec 02 02:57:56 UTC 2023","2113","","6. Company Account","","","","6. Review Review Page",""
"passed","Sat Dec 02 02:57:03 UTC 2023","Sat Dec 02 02:57:17 UTC 2023","14395","","6. Company Account","","","","1. Validate login credentials",""
"passed","Sat Dec 02 02:36:23 UTC 2023","Sat Dec 02 02:36:27 UTC 2023","4227","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Sat Dec 02 02:32:44 UTC 2023","Sat Dec 02 02:32:59 UTC 2023","15563","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Dec 02 04:26:11 UTC 2023","Sat Dec 02 04:26:13 UTC 2023","1611","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Sat Dec 02 04:40:41 UTC 2023","Sat Dec 02 04:40:42 UTC 2023","1389","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Sat Dec 02 03:09:23 UTC 2023","Sat Dec 02 03:09:25 UTC 2023","1235","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
